ticker,date,open,high,low,close,volume
VN30,20250307,1381.51,1389.26,1378.38,1387.48,155914823.0
VN30,20250306,1368.13,1380.45,1363.91,1379.62,306508651.0
VN30,20250305,1369.62,1379.66,1362.62,1363.91,447504976.0
VN30,20250304,1357.55,1369.5,1350.11,1367.97,362620454.0
VN30,20250303,1358.21,1362.8,1355.12,1361.16,342275714.0
VN30,20250228,1360.55,1361.66,1351.09,1356.43,257931039.0
VN30,20250227,1363.37,1364.27,1351.05,1363.62,248857329.0
VN30,20250226,1362.06,1364.91,1358.6,1360.56,229098504.0
VN30,20250225,1365.87,1369.32,1356.21,1360.56,285386439.0
VN30,20250224,1357.3,1364.52,1352.52,1364.52,347663707.0
VN30,20250221,1351.75,1355.09,1349.26,1353.73,260487958.0
VN30,20250220,1348.11,1351.52,1345.43,1349.45,219687944.0
VN30,20250219,1338.47,1346.67,1335.26,1344.64,208365654.0
VN30,20250218,1335.56,1346.8,1332.62,1337.39,211050234.0
VN30,20250217,1341.18,1342.89,1334.01,1334.01,241315712.0
VN30,20250214,1339.22,1347.98,1338.0,1340.52,210933565.0
VN30,20250213,1334.7,1338.33,1329.56,1337.78,165900360.0
VN30,20250212,1341.47,1343.44,1335.35,1335.68,159139977.0
VN30,20250211,1333.7,1338.4,1329.15,1338.4,281814031.0
VN30,20250210,1336.47,1343.09,1327.15,1330.88,334990873.0
VN30,20250207,1337.13,1345.26,1332.68,1340.8,226573226.0
VN30,20250206,1336.42,1340.92,1333.45,1336.59,189604057.0
VN30,20250205,1330.28,1334.58,1326.77,1331.35,181998924.0
VN30,20250204,1320.61,1327.61,1317.42,1327.21,226492167.0
VN30,20250203,1326.19,1326.19,1311.4,1315.46,202190509.0
VN30,20250124,1332.2,1339.55,1330.29,1337.59,166615342.0
VN30,20250123,1309.92,1339.48,1309.92,1332.54,245071876.0
VN30,20250122,1317.91,1318.25,1309.72,1309.72,204954390.0
VN30,20250121,1321.3,1323.27,1309.41,1314.81,190999622.0
VN30,20250120,1313.26,1319.06,1311.5,1316.95,159876744.0
VN30,20250117,1302.79,1313.48,1298.85,1313.48,145558394.0
VN30,20250116,1303.41,1307.82,1293.19,1303.25,210634118.0
VN30,20250115,1295.66,1300.37,1291.73,1297.64,142420555.0
VN30,20250114,1295.79,1297.32,1285.32,1289.23,140122687.0
VN30,20250113,1287.64,1298.34,1282.57,1298.34,180909870.0
VN30,20250110,1310.35,1312.32,1293.23,1293.23,183224603.0
VN30,20250109,1316.35,1318.87,1307.55,1310.8,131437617.0
VN30,20250108,1314.09,1316.63,1306.69,1316.63,131867707.0
VN30,20250107,1316.62,1322.23,1309.55,1315.28,179928608.0
VN30,20250106,1320.14,1325.73,1313.04,1313.04,175084999.0
VN30,20250103,1341.15,1341.3,1320.58,1320.58,203854394.0
VN30,20250102,1344.76,1347.14,1334.39,1343.2,173170047.0
